2016-10-05T04:00:00Z,Vice-Presidential Debate: What You Missed,By NICHOLAS CONFESSORE and MATT FLEGENHEIMER,"Senator Tim Kaine of Virginia and Gov. Mike Pence of Indiana faced off at Longwood University in Farmville, Va., in their only debate."
2016-10-04T04:00:00Z,Senator Kaine and Gov. Pence: Face-Off in Farmville!,By ELIZABETH WILLIAMSON,"O.K., it won’t rival the Trump-Clinton rumble for excitement, but the vice-presidential debate could be an important comparison of policy visions."
2016-10-03T04:00:00Z,Ailing Obama Health Care Act May Have to Change to Survive,By ROBERT PEAR,"With plans too expensive and inaccessible for many, the law will almost certainly need to evolve. The election is likely to determine how."
2016-10-02T04:00:00Z,Serving Up Health Care,NA,Readers comment on “Football Team at the Obamacare Buffet” (Sept. 25).
2016-10-01T06:12:40Z,WHY IT MATTERS: Issues at Stake in Election,By THE ASSOCIATED PRESS,"A selection of issues at stake in the presidential election and their impact on Americans, in brief:"
2016-10-01T04:00:00Z,How Could Anyone Vote for Trump?,By GAIL COLLINS,It’s time for Republican leaders to exercise a little leadership.
2016-09-30T04:00:00Z,"U.S. Paid Insurers Funds Meant for Treasury, Auditors Say",By ROBERT PEAR,Federal auditors ruled that the Obama administration had violated the law by paying insurers more than allowed under the Affordable Care Act in an effort to hold down insurance premiums.
2016-10-02T04:00:00Z,How Donald Trump Set Off a Civil War Within the Right-Wing Media,By ROBERT DRAPER,"Since the candidate clinched the nomination, the green room has become a chilly place."
2016-09-29T04:00:00Z,The Health Care ‘Public Option’ Is Back. Can It Help Obamacare?,By REED ABELSON and MARGOT SANGER-KATZ,"A closer look at one increasingly popular, but not well-defined, idea to address the markets shortcomings of the health law."
2016-09-29T04:00:00Z,Explaining the U.S. Presidential Election to China: It’s Not Really Like ‘House of Cards’,By CAO LI,"A founder of the podcast “Xuanmei,” or “U.S. Election,” says the Chinese are more interested in the American election than ever but don’t always understand it."
2016-09-27T04:00:00Z,Reviving House Calls by Doctors,By TINA ROSENBERG,"Especially when treating the aging, house calls can benefit doctor, patient and the nation’s health care budget."
2016-09-28T04:00:00Z,Debate Takeaways: Hillary Clinton Digs In and Prevails,By ALEXANDER BURNS,"The Democratic candidate appeared to gain strength as the debate progressed, ultimately beating back Donald Trump in the late exchanges."
2016-09-27T03:08:42Z,Cheers and Jeers: Americans Tune Into Trump-Clinton Debate,By THE ASSOCIATED PRESS,"From senior centers to college campuses and bars featuring campaign-themed cocktails, Americans laughed, cheered and jeered through the first debate between Hillary Clinton and Donald Trump."
2016-09-27T04:00:00Z,It’s Easy for Obamacare Critics to Overlook the Merits of Medicaid Expansion,By AARON E. CARROLL,"In most ways, Medicaid offers an excellent return on investment, but 19 states have refused to participate in the expansion."
2016-09-26T04:00:00Z,Progressive Family Values,By PAUL KRUGMAN,"Policies for the real, real America."
2016-09-25T04:00:00Z,The Stakes in the Election,NA,Readers discuss what a President Trump would mean for America’s future.
2016-09-24T07:35:26Z,WHY IT MATTERS: Issues at Stake in Presidential Election,By THE ASSOCIATED PRESS,"A selection of issues at stake in the presidential election and their impact on Americans, in brief:"
2016-09-24T04:00:00Z,Health Care Deserves More Attention on the Campaign Trail,By THE EDITORIAL BOARD,Why hasn’t the growing burden of medical expenses gotten more attention from the presidential candidates?
2016-09-25T04:00:00Z,Football Team at the Buffet: Why Obamacare Markets Are in Crisis,By MARGOT SANGER-KATZ,Insurers are raising prices and limiting choices for the same reasons a restaurant owner might replace lobster with potato salad on an all-you-can-eat menu.
2016-09-23T07:30:37Z,Study Finds 20M Would Lose Health Coverage Under Trump Plan,By THE ASSOCIATED PRESS,A new study that examines some major health care proposals from the presidential candidates finds that Donald Trump would cause about 20 million to lose coverage while Hillary Clinton would provide coverage for an additional 9 million people.
2016-09-17T06:51:04Z,WHY IT MATTERS: Issues at Stake in Election,By THE ASSOCIATED PRESS,"A selection of issues at stake in the presidential election and their impact on Americans, in brief:"
2016-09-18T04:00:00Z,Can You Have a Good Life if You Don’t Have a Good Job?,By MICHAEL LIND,"Clinton and Trump never stop talking about decent jobs, but maybe that’s beside the point."
2016-09-15T23:49:25Z,Poll Shows 66 Percent of California Voters Favor Drug Price Initiative,By REUTERS,"An initiative on California's November ballot aimed at reining in prescription drug prices is favored by 66 percent of state voters, according to a new poll released on Thursday. "
2016-09-15T16:33:39Z,"Behind Health Law's 'Growing Pains,' More Serious Problems?",By THE ASSOCIATED PRESS,"President Barack Obama told insurers this week his health care overhaul has had some growing pains. But with premiums rising and marquee insurers bailing, could the real diagnosis be ""failure to thrive?"""
2016-09-16T04:00:00Z,"By One Measure, Health Care Law Is a Record Success",By REED ABELSON and MARGOT SANGER-KATZ,"While the number of people without health insurance is at its lowest, thanks largely to Obamacare, continued declines are far from certain."
2016-09-18T04:00:00Z,How Republicans Lost Their Best Shot at the Hispanic Vote,By ALEC MacGILLIS,"Three years ago, the G.O.P.-led House was close to reaching a compromise on immigration — one that might have neutralized the issue for the 2016 election. This is the inside story of what went wrong."
2016-09-15T04:00:00Z,Donald Trump and Kentucky’s Downtrodden,NA,Readers are distressed by Roger Cohen’s interviews with Trump supporters in Appalachia.
2016-09-14T04:00:00Z,The Ups and Downs of Obamacare,NA,Readers discuss the health law’s politics and economics.
2016-09-12T23:06:33Z,Obama Asks U.S. Insurers for Help Enrolling the Young and Healthy,By REUTERS,"President Barack Obama on Monday urged U.S. insurers offering coverage next year under his national healthcare law to step up their efforts to enroll those who remain uninsured, especially younger and healthier Americans."
2016-09-11T04:00:00Z,David Duke’s Senate Run in Louisiana Draws Attention but Not Support,By CAMPBELL ROBERTSON,There have been gritted teeth that the candidate who has gotten the most publicity is the one whom pollsters give virtually no chance.
2016-09-10T08:21:44Z,WHY IT MATTERS: Issues at Stake in Election,By THE ASSOCIATED PRESS,"A selection of issues at stake in the presidential election and their impact on Americans, in brief:"
2016-09-07T04:03:01Z,Government Survey Shows Health Insurance Gains Slowing,By THE ASSOCIATED PRESS,"The nation's progress in getting more people covered by health insurance slowed significantly this year, the government confirmed Wednesday in a report that tempers a historic achievement of the Obama administration."
2016-09-07T04:00:00Z,How Black Voters View Hillary Clinton and Donald Trump,NA,Readers discuss articles about young blacks’ qualms about Hillary Clinton and Donald Trump’s lack of understanding of the black community.
2016-09-06T04:00:00Z,The Incredible Shrinking Obamacare,By DAVID BROOKS,"Considering how it’s turned out, what was all the fuss about?"
2016-09-06T07:12:18Z,Progress Slows on Uninsured as Health Law Blame Game Goes On,By THE ASSOCIATED PRESS,Progress in reducing the number of people without health insurance in the U.S. appears to be losing momentum this year even as rising premiums and dwindling choice are reviving the political blame game over President Barack Obama's health care law.
2016-09-03T07:01:41Z,WHY IT MATTERS: Issues at Stake in Election,By THE ASSOCIATED PRESS,"A selection of issues at stake in the presidential election and their impact on Americans, in brief:"
2016-09-04T04:00:00Z,"Moderate Republicans, Unite!",By MICHAEL TOMASKY,How to turn the G.O.P. from the party of “no” to the party of “let’s talk.”
2016-09-02T11:25:54Z,Clinton Offers Plan to Curb 'Unjustified' Price Hikes on Life-Saving Drugs,By REUTERS,"Hillary Clinton said on Friday that if elected to the White House she would create an oversight panel to protect U.S. consumers from large price hikes on long-available, lifesaving drugs and to import alternative treatments if necessary, adding to her pledges to rein in overall drug prices."
2016-09-01T21:52:19Z,Top Official Says Health Law's Insurance Markets Are Viable,By THE ASSOCIATED PRESS,"Addressing concerns about rising premiums and dwindling competition, Health and Human Services Secretary Sylvia Burwell asserted Thursday that the federal health law's insurance markets clearly are sustainable."
2016-09-01T04:00:00Z,"Crying Wolf, Then Confronting Trump",By FRANK BRUNI,Did Democrats exhaust their alarm before they needed it most?
2016-09-02T04:00:00Z,Transcript of Donald Trump’s Immigration Speech,NA,"Following is a transcript of the remarks by Donald J. Trump on immigration in Phoenix on Wednesday, as transcribed by the Federal News Service."
2016-09-01T04:00:00Z,Why This Economy Needs Donald Trump,By DAVID MALPASS,We’re facing dismal growth and an economy that leaves millions of Americans out of work and out of luck. It’s time for a shock to the system.
2016-09-01T07:13:39Z,Poll: More Voters Trust Clinton on Health Care,By THE ASSOCIATED PRESS,"From Medicare to medical costs, more voters trust Democratic presidential candidate Hillary Clinton to do a better job on health care issues facing the United States, according to a poll out Thursday. But they're not holding out hope for big improvements."
2016-08-31T07:38:11Z,WHY IT MATTERS: The Role of Government,By THE ASSOCIATED PRESS,"THE ISSUE: It's the Goldilocks conundrum of American politics: Is the federal government too big, too small or just right?"
2016-08-31T04:00:00Z,"Win, Lose, but No Compromise",By THOMAS L. FRIEDMAN,Our politics increasingly resembles the sectarian conflict between Shiites and Sunnis.
2016-08-29T18:22:04Z,McConnell: Obamacare 'Crashing;' Next President Must Fix It,By THE ASSOCIATED PRESS,"U.S. Senate Majority Leader Mitch McConnell predicted Monday that the federal health care overhaul championed by President Barack Obama is likely to undergo changes next year, regardless of who wins the White House and which party has the upper hand in Congress."
2016-08-30T04:00:00Z,Obamacare Marketplaces Are in Trouble. What Can Be Done?,By REED ABELSON and MARGOT SANGER-KATZ,"A look at four major challenges the Affordable Care Act is facing, and some possible solutions."
2016-08-29T04:00:00Z,States of Cruelty,By PAUL KRUGMAN,Some ugly politics is local.
2016-08-29T07:17:06Z,Clinton Could Face Mounting Problem With Health Overhaul,By THE ASSOCIATED PRESS,"With the hourglass running out for his administration, President Barack Obama's health care law is struggling in many parts of the country. Double-digit premium increases and exits by big-name insurers have caused some to wonder whether ""Obamacare"" will go down as a failed experiment."
2016-08-29T01:10:19Z,10 Things to Know for Monday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Monday:"
